station,lat,lon
Acton Town,51.502749773000570000,-.280251203536110600
Aldgate,51.514271823083390000,-.075614184477749600
Aldgate East,51.515233413796480000,-.072287119975365420
Alperton,51.540694766293470000,-.299486538678611470
Amersham,51.674149710629730000,-.607478839102469000
Angel,51.532498868904300000,-.105789913665305300
Archway,51.565426754533750000,-.135113518210335370
Arnos Grove,51.616340261056756000,-.133516309581780070
Arsenal,51.558498768776680000,-.105761988175557870
Baker Street,51.523061248142790000,-.156900356057780880
Balham,51.443328979635250000,-.153207552666472820
Bank,51.513302371519344000,-.088915809045260000
Barbican,51.520145725324900000,-.097711123216248310
Barking,51.539451208515715000,.080863182849410430
Barkingside,51.585785960390545000,.088511013821779280
Barons Court,51.490159942708935000,-.213606857361082370
Bayswater,51.512233058741060000,-.188038262221618460
Becontree,51.540288535204700000,.127400321155280580
Belsize Park,51.550426627718240000,-.164232306333818050
Bermondsey,51.497949119581570000,-.063651350918079250
Bethnal Green,51.527195236069566000,-.055431117145884300
Blackfriars,51.511490522247490000,-.103606731219862620
Blackhorse Road,51.586951195438930000,-.040996340920370744
Bond Street,51.513804535388070000,-.149332354586202300
Borough,51.501193998928510000,-.093702664758373440
Boston Manor,51.495696382188164000,-.324763573796374050
Bounds Green,51.607090556952755000,-.124218963208536690
Bow Road,51.526800254826064000,-.024823746874528683
Brent Cross,51.576800471443870000,-.213455833755365300
Brixton,51.462581333631725000,-.114635581578615600
Buckhurst Hill,51.626517330409435000,.046743856240495990
Burnt Oak,51.602681099702550000,-.264198758145630100
Caledonian Road,51.548421318403776000,-.118312333133271940
Camden Town,51.539403522631090000,-.142726148730286300
Canada Water,51.497888681995114000,-.049705986794378270
Canary Wharf,51.503550485647594000,-.019431816253263262
Canning Town,51.513837129289570000,.008171036532588041
Cannon Street,51.511433722337300000,-.090694850680980680
Canons Park,51.607759515215320000,-.294653740878426550
Chalfont & Latimer,51.668025473926090000,-.560534956448776200
Chalk Farm,51.544083102422630000,-.153728009451251480
Chancery Lane,51.518123230614440000,-.111677427383970640
Charing Cross,51.508593207603190000,-.124754686624366030
Chesham,51.705030454829610000,-.611219246324909900
Chigwell,51.617871925405100000,.074526611263722940
Chiswick Park,51.494300591745144000,-.267746873913726140
Chorleywood,51.654217860774500000,-.518365989763054100
Clapham Common,51.461727933283946000,-.138311459464252400
Clapham North,51.464843732027760000,-.129531053727598040
Clapham South,51.452599834714476000,-.147982098639174410
Cockfosters,51.651687534574954000,-.149614715155877680
Colindale,51.595286518799250000,-.250142587760251700
Colliers Wood,51.418071885122640000,-.177700936628786360
Covent Garden,51.512909586141590000,-.124159260603112690
Croxley,51.647046338116360000,-.441710992609101700
Dagenham East,51.544116734223610000,.165874869677022780
Dagenham Heathway,51.541627413616190000,.147684194913217710
Debden,51.645434322048956000,.083837809879712370
Dollis Hill,51.551903559056100000,-.238797558508156870
Ealing Broadway,51.514913033739160000,-.301500096369187100
Ealing Common,51.510124738537850000,-.288260381056999100
Earls Court,51.491803907898900000,-.193545854058733800
East Acton,51.516582199054170000,-.247513203550207700
East Finchley,51.587271719132026000,-.164738305623223720
East Ham,51.538926036547580000,.051475548835470040
East Putney,51.458804746350000000,-.211003174222271470
Eastcote,51.576493044501650000,-.396844627186990200
Edgware,51.613623079849460000,-.274976006045290200
Elephant & Castle,51.495777047270740000,-.100729603883341970
Elm Park,51.549801253986864000,.199180459239238080
Embankment,51.507241796748396000,-.122360215814178660
Epping,51.693624607565480000,.113866915583570900
Euston,51.528596260899460000,-.133289718799315530
Euston Square,51.525561006016105000,-.135836140694320340
Fairlop,51.595680931861040000,.090929226191151620
Farringdon,51.520444754930790000,-.105065254236880330
Finchley Central,51.600976420785250000,-.192447107072110800
Finchley Road,51.547064834336794000,-.180494175915812260
Finsbury Park,51.564401648484590000,-.106512100282158470
Fulham Broadway,51.480529784298170000,-.194956844603215860
Gants Hill,51.576487548031560000,.066115533982912160
Gloucester Road,51.494239783916480000,-.182989526482896930
Golders Green,51.572221393232800000,-.193993261252232000
Goldhawk Road,51.501952197301270000,-.226748329203583370
